"Fiscal Year From","Fiscal Year To","Population","Per Capita Beer Consumption (Gallons)","Per Capita Wine Consumption (Gallons)","Per Capita Distilled Spirits Consumption (Gallons)"
"2021","2022","39185605","17.96","4.07","1.96"
"2020","2021","39466855","17.82","3.65","1.81"
"2019","2020","39782870","16.97","3.66","1.54"
"2018","2019","39927315","16.9","3.83","1.59"
"2017","2018","39809693","17.49","3.66","1.54"
"2016","2017","39523613","17.04","3.73","1.55"
"2015","2016","39255883","17.75","3.58","1.53"
"2014","2015","38714725","18.26","3.52","1.47"
"2013","2014","38357121","17.96","3.93","1.49"
"2012","2013","37984138","17.87","3.78","1.48"
"2011","2012","37668804","17.38","4.17","1.45"
"2010","2011","37427946","17.68","3.08","1.41"
"2009","2010","37223900","17.84","3.16","1.38"
"2008","2009","38255508","17.71","3.6","1.32"
"2007","2008","37883992","18.09","3.15","1.34"
"2006","2007","37559440","18.52","3.46","1.31"
"2005","2006","37195240","17.08","3.15","1.31"
"2004","2005","36728196","17.86","3.12","1.3"
"2003","2004","36271091","18.5","3","1.27"
"2002","2003","35612000","17.53","3.03","1.21"
"2001","2002","35000000","18.29","2.95","1.2"
"2000","2001","34367000","18.71","2.92","1.21"
"1999","2000","33753000","18.68","2.9","1.19"
"1998","1999","33140000","18.77","2.78","1.16"
"1997","1998","32657000","18.77","2.91","1.18"
"1996","1997","32207000","19.01","3.05","1.18"
"1995","1996","31837000","19.44","2.77","1.19"
"1994","1995","31617000","19.17","2.74","1.24"
"1993","1994","31418000","19.91","2.84","1.3"
"1992","1993","31150000","20.65","2.93","1.37"
"1991","1992","30723000","22.05","3.06","1.44"
"1990","1991","30143000","22.27","3.47","1.56"
"1989","1990","29558000","23","3.55","1.63"
"1988","1989","28701000","23.33","3.82","1.67"
"1987","1988","27996000","23.23","4.5","1.75"
"1986","1987","27338000","24.29","4.68","1.83"
"1985","1986","26687500","23.79","4.92","1.91"
"1984","1985","26079000","24.02","4.61","2.02"
"1983","1984","25414000","24.52","4.6","2.11"
"1982","1983","24944700","24","4.54","2.18"
"1981","1982","24469500","24.96","4.47","2.29"
"1980","1981","23992900","25.45","4.41","2.4"
"1979","1980","23534000","24.52","4.2","2.41"
"1978","1979","23072000","24.46","4.21","2.46"
"1977","1978","22610000","23.38","4.05","2.46"
"1976","1977","22164000","22.83","3.8","2.38"
"1975","1976","21756000","21.7","3.76","2.42"
"1974","1975","21374000","21.55","3.56","2.37"
"1973","1974","21036000","20.49","3.5","2.39"
"1972","1973","20737000","19.53","3.55","2.33"
"1971","1972","20470000","19.33","3.26","2.32"
"1970","1971","20193000","17.67","3.06","2.25"
"1969","1970","19922000","18.73","2.79","2.25"
"1968","1969","19664000","16.73","2.47","2.18"
"1967","1968","19372000","15.95","2.32","2.1"
"1966","1967","19041000","16.9","2.21","2.09"
"1965","1966","18670000","16","2.21","2.05"
"1964","1965","18255000","16.48","2.17","1.98"
"1963","1964","17768000","14.7","2.17","1.9"
"1962","1963","17211000","14.88","2.12","1.86"
"1961","1962","16636000","14.59","2.11","1.81"
"1960","1961","16114000","14.46","2.13","1.74"
"1955","1956","13292000","14.52","2.05","1.58"
"1950","1951","10886000","15.38","1.96","1.84"
"1945","1946","9452000","16.86","2.13","2.37"
"1940","1941","7094000","10.71","2.51","1.6"
"1935","1936","6258000","11.63","3.39","1.46"
