,Region,Year,Rate
0,CZE,1993.0,4.308333
1,CZE,1994.0,4.291667
2,CZE,1995.0,4.008333
3,CZE,1996.0,3.891667
4,CZE,1997.0,4.775
5,CZE,1998.0,6.466667
6,CZE,1999.0,8.7
7,CZE,2000.0,8.775
8,CZE,2001.0,8.125
9,CZE,2002.0,7.291667
10,CZE,2003.0,7.775
11,CZE,2004.0,8.291667
12,CZE,2005.0,7.941667
13,CZE,2006.0,7.133333
14,CZE,2007.0,5.325
15,CZE,2008.0,4.408333
16,CZE,2009.0,6.683333
17,CZE,2010.0,7.291667
18,CZE,2011.0,6.716667
19,CZE,2012.0,6.975
20,CZE,2013.0,6.966667
21,CZE,2014.0,6.116667
22,CZE,2015.0,5.058333
23,CZE,2016.0,3.966667
24,CZE,2017.0,2.908333
25,CZE,2018.0,2.266667
26,CZE,2019.0,2.016667
27,CZE,2020.0,2.55
28,CZE,2021.0,2.808333
29,FRA,1983.0,8.758333
30,FRA,1984.0,10.05
31,FRA,1985.0,10.38333
32,FRA,1986.0,10.55
33,FRA,1987.0,10.65
34,FRA,1988.0,10.06667
35,FRA,1989.0,9.675
36,FRA,1990.0,9.366667
37,FRA,1991.0,9.625
38,FRA,1992.0,10.64167
39,FRA,1993.0,11.825
40,FRA,1994.0,12.275
41,FRA,1995.0,11.95
42,FRA,1996.0,12.4
43,FRA,1997.0,12.33333
44,FRA,1998.0,12.05
45,FRA,1999.0,11.31667
46,FRA,2000.0,9.558333
47,FRA,2001.0,8.741667
48,FRA,2002.0,8.633333
49,FRA,2003.0,8.516666
50,FRA,2004.0,8.9
51,FRA,2005.0,8.883333
52,FRA,2006.0,8.85
53,FRA,2007.0,8.016666
54,FRA,2008.0,7.433333
55,FRA,2009.0,9.116667
56,FRA,2010.0,9.275
57,FRA,2011.0,9.216666
58,FRA,2012.0,9.758333
59,FRA,2013.0,10.3
60,FRA,2014.0,10.275
61,FRA,2015.0,10.35
62,FRA,2016.0,10.06667
63,FRA,2017.0,9.425
64,FRA,2018.0,9.025
65,FRA,2019.0,8.433333
66,FRA,2020.0,8.033334
67,FRA,2021.0,7.875
68,EST,1997.0,9.625
69,EST,1998.0,9.15
70,EST,1999.0,11.35
71,EST,2000.0,14.45833
72,EST,2001.0,13.04167
73,EST,2002.0,11.33333
74,EST,2003.0,10.35
75,EST,2004.0,10.08333
76,EST,2005.0,7.975
77,EST,2006.0,5.941667
78,EST,2007.0,4.6
79,EST,2008.0,5.516667
80,EST,2009.0,13.475
81,EST,2010.0,16.58333
82,EST,2011.0,12.35
83,EST,2012.0,9.908334
84,EST,2013.0,8.491667
85,EST,2014.0,7.316667
86,EST,2015.0,6.391667
87,EST,2016.0,6.833333
88,EST,2017.0,5.808333
89,EST,2018.0,5.391667
90,EST,2019.0,4.483333
91,EST,2020.0,6.883333
92,EST,2021.0,6.208333
93,SA,2003.0,20.02
94,SA,2004.0,19.87
95,SA,2005.0,19.74
96,SA,2006.0,19.64
97,SA,2007.0,19.54
98,SA,2008.0,19.51
99,SA,2009.0,20.51
100,SA,2010.0,23.18
101,SA,2011.0,21.42
102,SA,2012.0,21.79
103,SA,2013.0,22.04
104,SA,2014.0,22.61
105,SA,2015.0,22.87
106,SA,2016.0,24.02
107,SA,2017.0,23.99
108,SA,2018.0,24.22
109,SA,2019.0,25.54
110,SA,2020.0,24.34
111,SA,2021.0,28.77
112,SA,2022.0,29.81
113,CAL,1976.0,0.09
114,CAL,1977.0,0.071
115,CAL,1978.0,0.064
116,CAL,1979.0,0.058
117,CAL,1980.0,0.065
118,CAL,1981.0,0.083
119,CAL,1982.0,0.109
120,CAL,1983.0,0.082
121,CAL,1984.0,0.071
122,CAL,1985.0,0.065
123,CAL,1986.0,0.061
124,CAL,1987.0,0.05
125,CAL,1988.0,0.048
126,CAL,1989.0,0.049
127,CAL,1990.0,0.066
128,CAL,1991.0,0.081
129,CAL,1992.0,0.095
130,CAL,1993.0,0.087
131,CAL,1994.0,0.074
132,CAL,1995.0,0.074
133,CAL,1996.0,0.066
134,CAL,1997.0,0.058
135,CAL,1998.0,0.054
136,CAL,1999.0,0.047
137,CAL,2000.0,0.044
138,CAL,2001.0,0.062
139,CAL,2002.0,0.068
140,CAL,2003.0,0.063
141,CAL,2004.0,0.056
142,CAL,2005.0,0.049
143,CAL,2006.0,0.047
144,CAL,2007.0,0.058
145,CAL,2008.0,0.091
146,CAL,2009.0,0.122
147,CAL,2010.0,0.122
148,CAL,2011.0,0.112
149,CAL,2012.0,0.097
150,CAL,2013.0,0.08
151,CAL,2014.0,0.066
152,CAL,2015.0,0.056
153,CAL,2016.0,0.052
154,CAL,2017.0,0.043
155,CAL,2018.0,0.042
156,CAL,2019.0,0.039
157,CAL,2020.0,0.089
158,CAL,2021.0,0.05
159,CAL,2022.0,0.039
